district,m_pct_any_dv_4,f_pct_any_beat_4,gap_any_dv_4,avg_any_dv_4,m_mean_dv_count_4,f_mean_beat_count_4,gap_dv_count_4,m_pct_beat_goout_4,m_pct_beat_neglect_4,m_pct_beat_argue_4,m_pct_beat_refusesex_4,m_pct_beat_burnfood_4,m_pct_dv_unfaithful_4,m_pct_dv_disrespect_4,m_pct_father_beat_mother_4,m_pct_force_sex_right_4,m_pct_any_dv_4,m_mean_dv_count_4,f_pct_beat_goout_4,f_pct_beat_neglect_4,f_pct_beat_argue_4,f_pct_beat_refusesex_4,f_pct_beat_burnfood_4,f_pct_any_beat_4,f_mean_beat_count_4,f_n_dv_4,gap_father_beat_mother_4,female_pct_breastfeeding_4
chamoli,17.492741,8.8147802,8.6779604,13.153761,0.29571092,0.19881655,0.096894369,2.6315789,0.87719297,2.6315789,0.87719297,0,5.2631578,7.0796461,8.9285717,0.87719297,17.543859,0.28947368,3.6764708,7.2992697,6.5693431,2.2222223,3.6496348,9.4890509,0.23357664,20.7686629,-0.86914921,16.439524
rudraprayag,23.437403,15.088534,8.3488684,19.262968,0.43433285,0.33387861,0.10045424,3.7037036,4.6296296,4.6296296,1.8691589,1.8518518,3.7383177,14.953271,4.7169814,0,22.222223,0.39814815,5.2980132,9.8684216,6.7114091,6.0402684,5.9602647,15.789473,0.33552632,14.44251592,-5.397563,14.654522
tehri garhwal,41.200115,6.8018928,34.398224,24.001003,0.55859953,0.094296344,0.4643032,1.8867924,1.8691589,3.7037036,2.7777779,0.91743118,5.6074762,16.82243,23.423424,1.8518518,41.441441,0.57657659,4.191617,4.166667,2.9761906,1.8072288,3.5714288,9.5238094,0.16666667,43.34529309,21.054441,16.771904
dehradun,39.80703,14.097802,25.709229,26.952415,0.65378106,0.35861325,0.2951678,2.1505377,2.1505377,7.5268822,2.1505377,2.1505377,6.521739,7.6086955,5.7471266,17.777779,32.258064,0.52688169,9.3851137,11.363637,9.7087374,10.679611,7.7669902,20,0.48709679,128.4095241,-0.83759737,11.485588
garhwal,19.295794,15.738784,3.5570097,17.517288,0.54816574,0.34701413,0.20115161,3.7500002,2.5,5,6.25,6.25,10.126582,11.392405,5.2631578,2.5,18.75,0.52499998,6.2111802,11.728395,5.5555558,5,6.790123,15.432098,0.35185185,44.72337916,-0.29130507,12.224111
pithoragarh,22.667906,15.394746,7.27316,19.031326,0.26624402,0.38555148,-0.11930746,1.3793104,0.68965518,2.0689654,0,0,4.1379309,4.1379309,14.788732,1.3793104,23.448277,0.28275862,10.810811,12.92517,12.162163,8.1081076,4.7297297,19.594595,0.48648649,26.60470825,8.3398037,15.729052
bageshwar,10.522364,38.679535,-28.157171,24.600948,0.17900737,1.1447183,-0.96571094,1.7699115,0.88495576,3.5398231,3.5398231,0,3.5398231,3.5398231,3.5714288,0,11.504425,0.20353982,25,21.195652,23.243242,13.586956,19.459459,35.675674,1.0216216,16.38311312,-8.406909,18.716726
almora,13.653874,10.814631,2.8392439,12.234253,0.25739965,0.17825821,0.079141438,1.0989012,3.2967036,4.3956046,2.1978023,2.1978023,1.0989012,3.2967036,3.3333335,5.4945054,14.285715,0.26373628,3.030303,8.333334,5.3030305,1.5151515,3.787879,11.363637,0.21969697,26.76272784,-2.7405086,19.59627
champawat,14.486675,34.096024,-19.609348,24.291349,0.24475448,0.79880971,-0.55405521,1.369863,1.369863,2.7397261,0.68493152,0.68493152,2.0408163,6.1224489,7.746479,0.6802721,14.285715,0.23129252,16.363636,21.95122,24.390244,14.634146,15.151516,36.144577,0.91566265,14.37640996,-1.8427119,17.817549
nainital,23.232151,17.000387,6.2317638,20.116268,0.46697304,0.27659681,0.19037622,4.516129,5.1612902,6.4516125,2.5806451,2.5806451,5.8064518,11.612904,7.1428576,5.8441558,23.870968,0.51612902,6.8322978,6.8322978,8.0996885,3.4375,3.1055901,15.52795,0.28260869,44.24589813,-4.8421044,15.522959
udham singh nagar,14.887682,33.342136,-18.454454,24.11491,0.20223176,0.80759591,-0.60536414,3.5460994,2.8169014,2.1126759,0,0.70422536,2.8368793,2.8169014,9.090909,1.3986014,17.482517,0.25174826,14.826499,22.64151,19.873817,11.501597,14.150943,35.220127,0.82704401,85.59319612,-4.6738052,15.656217
hardwar,29.058641,26.153908,2.9047337,27.606274,0.5587365,0.6497975,-0.091060996,6.666667,6.666667,7.5000005,2.5210085,3.3333335,11.666667,11.666667,11.864407,2.5210085,31.404961,0.63636363,16.666668,14.285715,17.857143,5.6716418,10.479042,26.70623,0.64688426,99.89451748,3.8958092,15.810553
panchkula,82.497322,18.019333,64.477989,50.258327,1.0211138,0.62856829,0.39254546,3.6144576,4.8192768,4.8192768,1.2048192,1.2048192,2.4096384,3.6585364,4.8192768,74.390244,77.108429,1,10.606061,12.121212,10.606061,6.818182,9.090909,15.151516,0.49242425,30.0636916,-16.0207,11.91086
ambala,51.977337,11.317499,40.659836,31.647419,0.98222208,0.32534462,0.65687746,7.614213,9.1836739,11.282051,4.1237111,3.5897439,8.762886,18.97436,28.49741,12.953368,52.763821,1.0251256,4.4585986,2.5477707,3.1847134,3.8216562,6.3694267,9.5541401,0.20382166,71.55073828,9.7103939,13.130443
yamunanagar,44.639008,32.305336,12.333672,38.472172,0.75553066,0.75707817,-0.001547515,5.7591624,3.6458333,6.25,2.6315789,4.166667,5.208333,9.375,31.21693,7.4468083,43.229164,0.75,12.280702,12.280702,13.450292,8.7719297,7.6023393,26.31579,0.54385966,81.88115466,25.285269,9.7172709
kurukshetra,49.819736,33.600842,16.218895,41.710289,1.4509059,1.0137969,0.43710899,18.579235,17.582418,15.217391,8,5.5248618,30.054644,30.38674,17.647058,10.555555,51.086956,1.5054348,27.215189,29.746836,29.113924,18.354431,18.354431,39.240505,1.2278481,60.26050383,-4.3567219,13.344698
kaithal,82.546043,17.826982,64.719063,50.186512,1.2646112,0.39749008,0.86712116,8.2474222,5.1546392,2.0618556,7.2164946,2.0618556,5.208333,9.375,13.978495,76.344086,82.474228,1.2577319,11.267606,8.5106382,7.6923079,4.9645391,8.3916082,18.181818,0.40559441,60.32044327,-8.0642328,16.413054
karnal,44.662617,26.213041,18.449575,35.437828,1.1392061,0.59285611,0.54634994,9.9009905,11.442785,11.940298,3.9603961,5.9405942,20.79208,25.247526,20.652174,8.4158411,44.554455,1.1633663,15.862068,15.172415,13.793103,6.25,9.6551723,22.758621,0.60689658,98.78563428,0.070875168,14.63439
panipat,24.7369,24.146782,0.59011841,24.441841,0.39212921,1.0134952,-0.62136602,0.69930071,2.7972028,3.4965034,3.521127,2.7972028,5.5944057,6.2937064,8.4507036,4.2553191,24.475523,0.37762237,23.308271,22.556391,24.06015,18.045113,18.796993,24.812031,1.0676692,63.79276568,-3.8026781,13.993053
sonipat,27.119688,34.166965,-7.0472775,30.643326,0.46059644,1.283033,-0.82243657,0,1.9354839,2.5806451,0.64935064,1.9354839,13.548388,16.129032,15.131579,1.9354839,32.051285,0.53205127,18.238993,22.64151,25.157234,17.610064,16.981133,28.301886,1.0062894,87.19004148,3.7959471,15.433434
jind,30.83696,10.19629,20.640671,20.516624,0.51231182,0.22525027,0.28706154,2.5316455,2.5316455,2.5316455,0,0.62893081,14.465409,15.72327,11.320755,0.63291138,30.188679,0.50314468,3.6496348,4.3795619,6.5693431,5.109489,2.919708,9.4890509,0.22627737,70.42188978,-6.77847,18.194433
fatehabad,32.047771,34.397057,-2.3492851,33.222412,0.54439151,1.0031739,-0.45878243,4.1379309,2.0833335,2.7586207,2.0689654,0.68965518,12.413793,16.551723,8.965518,1.3793104,30.34483,0.5103448,20.238096,27.380953,23.214285,12.121212,17.261904,32.738094,1,62.07986954,-3.8168802,15.700849
