State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual
21,16,14,8,1,5,3,0,2,7,8,1
21,17,53,37,5,11,9,0,2,29,37,8
21,18,32,16,2,14,9,0,5,8,16,8
21,19,152,47,23,82,37,0,45,17,47,30
21,20,28,9,5,14,3,0,11,1,9,8
21,21,27,9,6,12,4,0,8,5,9,4
21,22,11,3,4,4,0,0,4,2,3,1
21,23,43,18,0,25,4,0,21,1,18,17
21,24,51,34,3,14,8,0,6,16,34,18
21,25,21,3,0,18,1,0,17,1,3,2
21,26,52,19,2,31,0,0,31,4,19,15
21,27,73,24,1,48,10,0,38,12,24,12
21,28,84,26,1,57,4,0,53,7,26,19
21,29,64,33,0,31,6,0,25,16,33,17
21,30,33,12,2,19,5,0,14,8,12,4
22,1,47,8,5,34,3,0,31,7,8,1
22,2,69,7,0,62,4,0,58,6,7,1
22,3,44,4,0,40,4,0,36,3,4,1
22,4,72,38,5,29,4,0,25,22,38,16
22,5,71,16,0,55,4,0,51,9,16,7
22,6,60,20,3,37,5,1,31,16,20,4
22,7,58,21,2,35,5,0,30,15,21,6
22,8,49,7,0,42,6,0,36,3,7,4
22,9,114,22,0,92,12,1,79,14,22,8
22,10,94,49,2,43,14,0,29,33,49,16
22,11,151,62,14,75,16,1,58,38,62,24
22,12,99,20,5,74,6,0,68,8,20,12
22,13,70,19,0,51,8,0,43,8,19,11
22,14,94,14,0,80,4,0,76,9,14,5
22,15,67,13,0,54,2,0,52,3,13,10
22,16,25,11,0,14,2,0,12,7,11,4
22,17,8,3,0,5,2,0,3,3,3,0
22,19,128,51,4,73,13,0,60,25,51,26
22,20,17,4,0,13,2,0,11,0,4,4
22,21,21,0,0,21,5,0,16,0,0,0
22,22,9,0,0,9,2,0,7,0,0,0
22,23,37,8,1,28,2,0,26,5,8,3
22,24,69,18,0,51,13,0,38,7,18,11
22,25,72,20,0,52,5,0,47,9,20,11
22,26,71,2,1,68,1,0,67,2,2,0
22,27,17,1,0,16,0,0,16,1,1,0
23,1,5,4,1,0,0,0,0,3,4,1
23,2,6,2,1,3,2,0,1,2,2,0
23,3,19,8,5,6,0,0,6,6,8,2
23,4,31,14,1,16,6,0,10,10,14,4
23,5,10,3,0,7,1,0,6,2,3,1
23,6,24,5,1,18,2,0,16,1,5,4
23,7,24,6,1,17,6,0,11,1,6,5
23,8,27,9,0,18,5,0,13,2,9,7
23,9,2,1,0,1,0,0,1,1,1,0
23,10,95,20,2,73,44,0,29,13,20,7
23,11,27,13,1,13,4,0,9,7,13,6
23,12,85,28,1,56,15,0,41,11,28,17
23,13,57,13,2,42,8,0,34,7,13,6
23,14,9,4,0,5,0,0,5,1,4,3
23,15,43,18,0,25,10,0,15,3,18,15
23,16,37,13,0,24,5,0,19,2,13,11
23,17,42,16,0,26,3,0,23,4,16,12
23,18,78,27,3,48,6,0,42,18,27,9
23,19,89,28,0,61,2,0,59,10,28,18
23,20,45,13,0,32,2,0,30,3,13,10
23,21,68,36,1,31,9,0,22,13,36,23
23,22,119,77,4,38,20,0,18,61,77,16
23,23,110,48,2,60,9,0,51,7,48,41
23,24,52,10,1,41,11,0,30,5,10,5
23,25,96,32,0,64,8,0,56,10,32,22
23,26,29,20,1,8,2,0,6,9,20,11
23,27,71,43,5,23,13,3,7,39,43,4
23,28,31,16,5,10,3,0,7,10,16,6
23,29,41,14,5,22,8,0,14,7,14,7
23,30,39,20,3,16,5,0,11,9,20,11
23,31,4,3,0,1,0,0,1,1,3,2
23,32,14,8,1,5,3,0,2,6,8,2
23,33,8,2,1,5,2,0,3,2,2,0
23,34,81,35,4,42,16,1,25,18,35,17
23,35,32,11,0,21,6,0,15,3,11,8
23,36,62,13,0,49,2,0,47,6,13,7
23,37,34,8,0,26,3,0,23,1,8,7
23,38,50,25,5,20,8,0,12,12,25,13
23,39,54,21,0,33,6,0,27,5,21,16
23,40,59,32,2,25,10,0,15,12,32,20
23,41,22,2,0,20,2,0,18,2,2,0
23,42,11,2,0,9,2,0,7,2,2,0
23,43,32,12,0,20,5,0,15,7,12,5
23,44,16,9,0,7,7,0,0,4,9,5
23,45,40,7,1,32,6,0,26,2,7,5
23,46,47,1,0,46,6,0,40,1,1,0
23,47,39,13,0,26,2,0,24,6,13,7
23,48,31,7,0,24,6,0,18,4,7,3
23,49,48,19,2,27,8,0,19,6,19,13
23,50,40,22,4,14,11,0,3,4,22,18
