State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,State,District
10,12,13,5,0,8,2,0,6,2,5,3,Bihar,saharsa
10,13,11,3,0,8,7,0,1,1,3,2,Bihar,darbhanga
10,14,17,11,0,6,5,0,1,6,11,5,Bihar,muzaffarpur
10,15,6,1,0,5,5,0,0,1,1,0,Bihar,gopalganj
10,16,30,5,1,24,15,0,9,1,5,4,Bihar,siwan
10,17,12,5,1,6,6,0,0,4,5,1,Bihar,saran
10,18,6,3,0,3,3,0,0,1,3,2,Bihar,vaishali
10,19,7,5,0,2,2,0,0,0,5,5,Bihar,samastipur
10,20,10,8,0,2,2,0,0,1,8,7,Bihar,begusarai
10,21,13,5,0,8,5,0,3,1,5,4,Bihar,khagaria
10,22,14,5,1,8,6,0,2,5,5,0,Bihar,bhagalpur
10,23,3,3,0,0,0,0,0,1,3,2,Bihar,banka
10,24,23,6,2,15,8,0,7,6,6,0,Bihar,munger
10,25,3,0,0,3,3,0,0,0,0,0,Bihar,lakhisarai
10,26,1,1,0,0,0,0,0,1,1,0,Bihar,sheikhpura
10,27,38,25,0,13,6,0,7,5,25,20,Bihar,nalanda
10,28,48,20,9,19,17,0,2,20,20,0,Bihar,patna
10,29,34,7,5,22,17,0,5,7,7,0,Bihar,bhojpur
10,30,11,4,0,7,7,0,0,3,4,1,Bihar,buxar
10,31,3,2,0,1,0,0,1,0,2,2,Bihar,kaimur (bhabua)
10,32,19,3,0,16,12,0,4,3,3,0,Bihar,rohtas
10,33,4,2,0,2,2,0,0,2,2,0,Bihar,aurangabad
10,34,17,10,0,7,7,0,0,6,10,4,Bihar,gaya
10,35,4,1,0,3,2,0,1,1,1,0,Bihar,nawada
10,36,10,3,0,7,2,0,5,3,3,0,Bihar,jamui
10,37,1,1,0,0,0,0,0,0,1,1,Bihar,jehanabad
10,38,1,1,0,0,0,0,0,1,1,0,Bihar,arwal
11,1,84,41,1,42,17,0,25,40,41,1,Sikkim,north district
11,2,130,36,2,92,43,0,49,34,36,2,Sikkim,west district
11,3,118,58,2,58,21,0,37,57,58,1,Sikkim,south district
11,4,216,126,4,86,27,0,59,122,126,4,Sikkim,east district
12,1,8,3,2,3,3,0,0,2,3,1,Arunachal Pradesh,tawang
12,2,20,13,2,5,5,0,0,12,13,1,Arunachal Pradesh,west kameng
12,3,15,9,0,6,6,0,0,9,9,0,Arunachal Pradesh,east kameng
12,4,83,44,12,27,27,0,0,44,44,0,Arunachal Pradesh,papum pare
12,5,11,5,1,5,5,0,0,5,5,0,Arunachal Pradesh,upper subansiri
12,6,38,20,10,8,7,0,1,19,20,1,Arunachal Pradesh,west siang
12,7,51,11,8,32,16,0,16,11,11,0,Arunachal Pradesh,east siang
12,8,22,2,0,20,8,0,12,2,2,0,Arunachal Pradesh,upper siang
12,9,121,35,13,73,35,1,37,30,35,5,Arunachal Pradesh,changlang
12,10,46,6,6,34,17,0,17,6,6,0,Arunachal Pradesh,tirap
12,11,13,5,1,7,6,0,1,5,5,0,Arunachal Pradesh,lower subansiri
12,12,8,3,3,2,2,0,0,3,3,0,Arunachal Pradesh,kurung kumey
12,13,2,1,0,1,1,0,0,1,1,0,Arunachal Pradesh,dibang valley
12,14,38,7,3,28,16,1,11,7,7,0,Arunachal Pradesh,lower dibang valley
12,15,131,47,12,72,36,0,36,45,47,2,Arunachal Pradesh,lohit
13,1,106,10,27,69,21,0,48,10,10,0,Nagaland,mon
13,2,97,28,22,47,13,0,34,28,28,0,Nagaland,mokokchung
13,3,16,1,4,11,2,0,9,1,1,0,Nagaland,zunheboto
13,4,61,13,24,24,3,0,21,13,13,0,Nagaland,wokha
13,5,94,27,29,38,22,0,16,27,27,0,Nagaland,dimapur
13,6,41,1,4,36,6,0,30,1,1,0,Nagaland,phek
13,7,79,8,30,41,12,0,29,8,8,0,Nagaland,tuensang
13,8,4,2,0,2,1,0,1,2,2,0,Nagaland,longleng
13,9,8,1,3,4,1,0,3,1,1,0,Nagaland,kiphire
13,10,116,40,28,48,25,0,23,40,40,0,Nagaland,kohima
13,11,44,9,14,21,6,0,15,9,9,0,Nagaland,peren
14,1,140,36,14,90,60,1,29,32,36,4,Manipur,senapati (excluding 3 sub-divisions)
14,2,31,5,4,22,20,0,2,5,5,0,Manipur,tamenglong
14,3,94,33,11,50,41,0,9,30,33,3,Manipur,churachandpur
14,4,127,33,12,82,73,0,9,26,33,7,Manipur,bishnupur
14,5,217,48,12,157,137,0,20,42,48,6,Manipur,thoubal
14,6,436,153,34,249,220,1,28,140,153,13,Manipur,imphal west
14,7,149,31,9,109,105,0,4,23,31,8,Manipur,imphal east
14,8,55,15,12,28,19,0,9,15,15,0,Manipur,ukhrul
14,9,28,12,2,14,13,0,1,10,12,2,Manipur,chandel
15,1,47,7,7,33,18,0,15,7,7,0,Mizoram,mamit
15,2,60,10,6,44,24,0,20,9,10,1,Mizoram,kolasib
15,3,376,115,30,231,174,1,56,102,115,13,Mizoram,aizawl
15,4,96,22,5,69,22,1,46,16,22,6,Mizoram,champhai
15,5,37,6,3,28,18,0,10,5,6,1,Mizoram,serchhip
15,6,145,38,7,100,65,0,35,34,38,4,Mizoram,lunglei
15,7,88,15,4,69,30,1,38,10,15,5,Mizoram,lawngtlai
15,8,54,10,2,42,23,0,19,10,10,0,Mizoram,saiha
16,1,367,179,19,169,115,1,53,117,179,62,Tripura,west tripura
16,2,163,56,9,98,58,0,40,29,56,27,Tripura,south tripura
16,3,87,25,3,59,23,0,36,19,25,6,Tripura,dhalai
16,4,75,51,3,21,14,0,7,40,51,11,Tripura,north tripura
17,1,129,18,2,109,4,0,105,16,18,2,Meghalaya,west garo hills
17,2,132,21,4,107,10,0,97,20,21,1,Meghalaya,east garo hills
17,3,40,2,0,38,1,0,37,2,2,0,Meghalaya,south garo hills
17,4,82,61,4,17,12,0,5,37,61,24,Meghalaya,west khasi hills
17,5,112,53,6,53,45,0,8,31,53,22,Meghalaya,ribhoi
17,6,290,170,34,86,60,0,26,138,170,32,Meghalaya,east khasi hills
17,7,115,71,10,34,26,0,8,39,71,32,Meghalaya,jaintia hills
18,1,7,6,0,1,1,0,0,3,6,3,Assam,kokrajhar
18,2,35,24,6,5,3,1,1,21,24,3,Assam,dhubri
18,3,21,13,2,6,5,0,1,13,13,0,Assam,goalpara
18,4,19,15,3,1,1,0,0,14,15,1,Assam,barpeta
18,5,19,4,10,5,5,0,0,3,4,1,Assam,morigaon
18,6,130,61,43,26,23,0,3,53,61,8,Assam,nagaon
18,7,44,35,3,6,4,0,2,22,35,13,Assam,sonitpur
18,8,11,7,1,3,1,0,2,5,7,2,Assam,lakhimpur
18,9,8,3,1,4,4,0,0,1,3,2,Assam,dhemaji
18,10,113,62,14,37,18,0,19,54,62,8,Assam,tinsukia
18,11,97,49,10,38,18,0,20,47,49,2,Assam,dibrugarh
18,12,43,22,7,14,11,0,3,12,22,10,Assam,sivasagar
18,13,54,28,15,11,9,0,2,22,28,6,Assam,jorhat
18,14,26,13,2,11,11,0,0,7,13,6,Assam,golaghat
18,15,12,8,0,4,3,0,1,8,8,0,Assam,karbi anglong
18,16,3,3,0,0,0,0,0,3,3,0,Assam,dima hasao
18,17,21,18,0,3,3,0,0,17,18,1,Assam,cachar
18,18,18,13,1,4,2,0,2,12,13,1,Assam,karimganj
18,19,3,2,0,1,1,0,0,2,2,0,Assam,hailakandi
18,20,28,9,6,13,10,0,3,9,9,0,Assam,bongaigaon
18,21,6,4,2,0,0,0,0,2,4,2,Assam,chirang
18,22,45,21,9,15,10,0,5,13,21,8,Assam,kamrup
18,23,45,22,10,13,11,1,1,22,22,0,Assam,kamrup metropolitan
18,24,11,6,2,3,2,0,1,5,6,1,Assam,nalbari
18,25,28,13,3,12,5,1,6,10,13,3,Assam,baksa
18,26,11,6,2,3,3,0,0,5,6,1,Assam,darrang
18,27,30,20,4,6,5,0,1,15,20,5,Assam,udalguri
19,1,67,48,4,15,10,0,5,38,48,10,West Bengal,darjiling
19,2,109,53,6,50,20,0,30,30,53,23,West Bengal,jalpaiguri
19,3,64,20,0,44,7,0,37,6,20,14,West Bengal,koch bihar
19,4,20,14,2,4,3,0,1,11,14,3,West Bengal,uttar dinajpur
19,5,36,17,1,18,11,0,7,12,17,5,West Bengal,dakshin dinajpur
19,6,64,17,2,45,42,0,3,9,17,8,West Bengal,maldah
19,7,159,30,8,121,116,2,3,28,30,2,West Bengal,murshidabad
19,8,56,27,6,23,22,0,1,10,27,17,West Bengal,birbhum
19,9,104,68,5,31,28,0,3,30,68,38,West Bengal,barddhaman
19,10,135,49,12,74,62,1,11,41,49,8,West Bengal,nadia
19,11,211,122,13,76,45,7,24,108,122,14,West Bengal,north twenty four parganas
19,12,143,76,23,44,28,0,16,59,76,17,West Bengal,hugli
19,13,5,5,0,0,0,0,0,1,5,4,West Bengal,bankura
19,14,30,16,2,12,11,0,1,6,16,10,West Bengal,puruliya
19,15,74,28,3,43,35,3,5,26,28,2,West Bengal,haora
19,16,114,86,6,22,16,0,6,81,86,5,West Bengal,kolkata
19,17,97,42,6,49,38,0,11,36,42,6,West Bengal,south twenty four parganas
19,18,59,35,2,22,9,1,12,20,35,15,West Bengal,paschim medinipur
19,19,46,16,8,22,9,2,11,15,16,1,West Bengal,purba medinipur
20,1,70,7,0,63,10,0,53,0,7,7,Jharkhand,garhwa
20,2,33,4,0,29,3,0,26,3,4,1,Jharkhand,chatra
20,3,23,1,0,22,3,0,19,1,1,0,Jharkhand,kodarma
20,4,41,10,1,30,9,0,21,9,10,1,Jharkhand,giridih
20,5,18,5,1,12,4,0,8,5,5,0,Jharkhand,deoghar
20,6,16,3,0,13,5,0,8,3,3,0,Jharkhand,godda
20,7,16,3,0,13,4,0,9,3,3,0,Jharkhand,sahibganj
20,8,32,1,0,31,24,0,7,0,1,1,Jharkhand,pakur
20,9,59,23,8,28,18,0,10,17,23,6,Jharkhand,dhanbad
20,10,36,17,5,14,4,0,10,13,17,4,Jharkhand,bokaro
20,11,13,5,0,8,1,0,7,2,5,3,Jharkhand,lohardaga
20,12,101,58,9,34,18,0,16,34,58,24,Jharkhand,purbi singhbhum
20,13,42,7,0,35,8,0,27,3,7,4,Jharkhand,palamu
20,14,35,0,1,34,2,0,32,0,0,0,Jharkhand,latehar
20,15,78,7,1,70,15,0,55,6,7,1,Jharkhand,hazaribagh
20,16,27,5,0,22,9,0,13,3,5,2,Jharkhand,ramgarh
20,17,25,9,0,16,4,0,12,8,9,1,Jharkhand,dumka
20,18,21,5,0,16,2,0,14,3,5,2,Jharkhand,jamtara
20,19,131,40,7,84,29,0,55,32,40,8,Jharkhand,ranchi
20,20,40,6,0,34,7,0,27,4,6,2,Jharkhand,khunti
20,21,42,10,0,32,7,0,25,7,10,3,Jharkhand,gumla
20,22,33,3,0,30,3,0,27,3,3,0,Jharkhand,simdega
20,23,26,6,1,19,8,0,11,4,6,2,Jharkhand,pashchimi singhbhum
20,24,50,11,1,38,7,0,31,5,11,6,Jharkhand,saraikela kharsawan
21,1,44,27,4,13,5,0,8,4,27,23,Odisha,bargarh
21,2,45,20,1,24,6,0,18,7,20,13,Odisha,jharsuguda
21,3,76,22,1,53,29,0,24,15,22,7,Odisha,sambalpur
21,4,6,2,0,4,1,0,3,0,2,2,Odisha,debagarh
21,5,64,37,8,19,9,0,10,15,37,22,Odisha,sundargarh
21,6,80,26,0,54,7,0,47,12,26,14,Odisha,kendujhar
21,7,138,30,7,101,22,1,78,12,30,18,Odisha,mayurbhanj
21,8,95,30,5,60,12,0,48,18,30,12,Odisha,baleshwar
21,9,26,12,2,12,10,0,2,8,12,4,Odisha,bhadrak
21,10,19,8,4,7,6,0,1,7,8,1,Odisha,kendrapara
