district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
udalguri,10.41666603,assam,31.494469,30.873814,1.3928875,6.3473721,73.405273,19.372824,33.464233,14.542259,31.926865,-607108.9355,1.8731021,5.1435175,94.856483,4.8071461,71.315315,5.1932302,55.490242,15.889404,510.5162472
west karbi anglong,,assam,36.640709,29.944292,1.4614655,6.514142,76.826324,3.4933105,75.250587,1.3503871,19.90572,-796910.7931,1.6645713,6.8208694,93.179131,5.1710315,70.472733,2.8811967,47.307404,15.113713,158.54978
araria,10.71428585,bihar,46.109726,28.219883,0.88669807,3.9215136,49.754986,24.597601,3.7066448,8.8445463,62.319977,-944274.0728,1.5801945,9.7284908,90.271507,6.3592,79.005165,2.9505012,41.982468,20.91766,1775.31689
arwal,1.388888955,bihar,48.458996,28.469793,1.2446697,5.9099979,62.210445,29.969448,3.9187198,7.9994388,58.112396,-501952.5734,2.0614913,13.178804,86.821198,5.983232,73.366669,1.8152677,36.948551,34.956917,408.6793346
aurangabad,2.127659559,bihar,46.791306,28.972689,1.3568966,6.5182171,67.822281,26.92219,2.6124892,13.967226,56.498093,-298190.7121,2.3741493,12.848441,87.151558,6.1651726,70.867119,2.5547457,43.255043,30.796295,1331.256843
banka,4.166666985,bihar,33.756821,29.33581,1.114079,5.0986862,58.951061,26.222239,2.8963664,12.560159,58.0518,-649464.085,1.9244105,3.8424559,96.157547,5.7334895,80.871132,2.1047666,57.166977,24.584517,1076.943863
begusarai,4.444444656,bihar,38.866314,28.501648,1.3271625,6.2913671,67.094063,24.357203,0.59019357,23.55518,51.497425,-457538.1395,2.1262445,32.242237,67.757759,6.3917608,73.405418,3.883105,47.988987,30.087286,2139.501081
bhagalpur,5.907173157,bihar,30.46344,28.386517,1.3824505,6.5480146,67.529419,22.445042,3.6776364,21.174963,51.80257,-171063.928,2.5682108,31.292498,68.707504,6.4392705,74.401978,2.5372603,62.128799,28.291044,2095.441358
bhojpur,10,bihar,39.063881,28.870163,1.3546588,6.4826889,68.268394,17.523987,4.6068101,21.377472,56.491726,-121519.9276,2.5989749,27.537495,72.462502,6.4143076,71.834068,2.54932,49.323143,27.231773,1713.350014
buxar,4.661016941,bihar,40.436058,28.588045,1.3346025,6.3411274,67.618111,17.722395,2.2244027,16.967293,63.085907,-166163.0621,2.5342615,16.384783,83.615211,6.4402409,69.596329,2.7595563,49.681389,27.266922,982.9802083
