state_id,smdist,prop_internet_use_m,prop_mobile_own_m,prop_internet_use_f,prop_mobile_own_f,dd_internet_use,dd_mobile_own
assam,nalbari,0,.83870965,0,.53896105,0,.2997486
assam,baksa,0,.85820895,0,.65662652,0,.20158243
assam,darrang,0,.89333332,0,.47999999,0,.41333333
assam,udalguri,0,.86666667,0,.55747128,0,.3091954
west bengal,darjiling,0,.88571429,0,.69461077,0,.19110352
west bengal,jalpaiguri,0,.89147288,0,.5714286,0,.32004428
west bengal,koch bihar,0,.92028987,0,.42011833,0,.50017154
west bengal,uttar dinajpur,0,.91970807,0,.42780748,0,.49190059
west bengal,dakshin dinajpur,0,.83916086,0,.59302324,0,.24613762
west bengal,maldah,0,.88188976,0,.36875001,0,.51313972
west bengal,murshidabad,0,.8214286,0,.31097561,0,.51045299
west bengal,birbhum,0,.87248319,0,.37869823,0,.49378496
west bengal,nadia,0,.84090906,0,.43243241,0,.40847665
west bengal,north twenty four parganas,0,.95070416,0,.63333333,0,.31737083
west bengal,hugli,0,.89682531,0,.58757061,0,.30925471
west bengal,bankura,0,.82203388,0,.30985916,0,.51217473
west bengal,puruliya,0,.83185846,0,.26190478,0,.56995368
west bengal,haora,0,.95333332,0,.65030676,0,.30302656
west bengal,kolkata,0,.92028987,0,.84353739,0,.076752484
west bengal,south twenty four parganas,0,.90277773,0,.49404761,0,.40873012
west bengal,paschim medinipur,0,.84166664,0,.38513511,0,.45653152
west bengal,purba medinipur,0,.86363631,0,.52173913,0,.34189719
jharkhand,garhwa,0,.81250006,0,.41807908,0,.39442098
jharkhand,chatra,0,.89166665,0,.33939394,0,.55227268
jharkhand,kodarma,0,.8732394,0,.43902439,0,.43421501
jharkhand,giridih,0,.94736844,0,.48466256,0,.46270588
jharkhand,deoghar,0,.875,0,.4519774,0,.4230226
jharkhand,godda,0,.79816514,0,.46456692,0,.33359823
jharkhand,sahibganj,0,.87610626,0,.32885906,0,.54724717
jharkhand,pakur,0,.77884614,0,.36000001,0,.41884613
jharkhand,dhanbad,0,.90361446,0,.46961325,0,.43400121
jharkhand,bokaro,0,.92356688,0,.55621302,0,.36735386
jharkhand,lohardaga,0,.86206895,0,.52564102,0,.33642793
jharkhand,purbi singhbhum,0,.8418079,0,.60389608,0,.23791182
jharkhand,palamu,0,.83916086,0,.48275858,0,.35640228
jharkhand,latehar,0,.89440995,0,.40659341,0,.48781654
jharkhand,hazaribagh,0,.84210527,0,.56626505,0,.27584022
jharkhand,ramgarh,0,.84831458,0,.55494505,0,.29336953
jharkhand,dumka,0,.8442623,0,.55303031,0,.29123199
jharkhand,jamtara,0,.8263889,0,.45333335,0,.37305555
jharkhand,ranchi,0,.94871789,0,.67796612,0,.27075177
jharkhand,khunti,0,.77464789,0,.41935483,0,.35529307
jharkhand,gumla,0,.85795456,0,.37566137,0,.48229319
jharkhand,simdega,0,.87974685,0,.40764335,0,.47210351
jharkhand,pashchimi singhbhum,0,.86896551,0,.33802816,0,.53093731
jharkhand,saraikela-kharsawan,0,.89071041,0,.55440414,0,.33630627
odisha,bargarh,0,.88965511,0,.37599999,0,.51365513
odisha,jharsuguda,0,.89473683,0,.5106383,0,.38409853
odisha,sambalpur,0,.85714287,0,.52592593,0,.33121693
odisha,debagarh,0,.85964912,0,.50735295,0,.35229617
odisha,sundargarh,0,.89075631,0,.59124088,0,.29951543
odisha,kendujhar,0,.8359375,0,.40816328,0,.42777422
odisha,mayurbhanj,0,.83739835,0,.4148148,0,.42258355
odisha,baleshwar,0,.83999997,0,.5869565,0,.25304347
odisha,bhadrak,0,.8490566,0,.62987012,0,.21918648
odisha,kendrapara,0,.7927928,0,.64516127,0,.14763153
odisha,jagatsinghapur,0,.91262138,0,.7352941,0,.17732728
odisha,cuttack,0,.8923077,0,.54098362,0,.35132408
odisha,jajapur,0,.84285712,0,.53061223,0,.31224489
odisha,dhenkanal,0,.86734694,0,.55833334,0,.30901361
odisha,anugul,0,.88513511,0,.56725144,0,.31788367
odisha,nayagarh,0,.80303031,0,.61971831,0,.183312
odisha,khordha,0,.91379309,0,.6418919,0,.27190119
odisha,puri,0,.81666666,0,.57037038,0,.24629629
odisha,ganjam,0,.86486489,0,.52666664,0,.33819824
odisha,gajapati,0,.80733943,0,.36301368,0,.44432575
odisha,kandhamal,0,.78289473,0,.41958043,0,.3633143
odisha,baudh,0,.83571428,0,.35185185,0,.48386243
odisha,subarnapur,0,.89583331,0,.40136054,0,.49447277
odisha,balangir,0,.8741259,0,.49999997,0,.37412593
odisha,nuapada,0,.79136693,0,.31756756,0,.47379938
odisha,kalahandi,0,.83850926,0,.37912086,0,.45938841
odisha,rayagada,0,.7185185,0,.30463576,0,.41388273
odisha,nabarangapur,0,.80000001,0,.27922079,0,.52077925
odisha,koraput,0,.73571426,0,.29299363,0,.44272062
odisha,malkangiri,0,.67153287,0,.32515338,0,.34637949
chhattisgarh,koriya,0,.74436092,0,.41007194,0,.33428898
chhattisgarh,jashpur,0,.75735295,0,.39393941,0,.36341354
chhattisgarh,raigarh,0,.87662339,0,.40845072,0,.46817267
chhattisgarh,korba,0,.86127168,0,.49707603,0,.36419564
chhattisgarh,janjgir - champa,0,.82550335,0,.41958043,0,.40592292
chhattisgarh,kabeerdham,0,.8874172,0,.30075186,0,.58666533
chhattisgarh,rajnandgaon,0,.86627907,0,.37125748,0,.49502158
chhattisgarh,mahasamund,0,.89570552,0,.36312848,0,.53257704
chhattisgarh,dhamtari,0,.83443707,0,.4217687,0,.41266838
chhattisgarh,uttar bastar kanker,0,.78205127,0,.37692308,0,.40512818
chhattisgarh,narayanpur,0,.54268295,0,.40462428,0,.13805866
chhattisgarh,bijapur,0,.67469877,0,.35882354,0,.31587523
madhya pradesh,sheopur,0,.78991598,0,.28187919,0,.50803679
madhya pradesh,morena,0,.81751823,0,.42675158,0,.39076665
madhya pradesh,bhind,0,.85714287,0,.41007197,0,.4470709
madhya pradesh,gwalior,0,.87804872,0,.43478262,0,.44326609
madhya pradesh,datia,0,.86206895,0,.37414965,0,.4879193
madhya pradesh,shivpuri,0,.88695651,0,.27102804,0,.61592847
madhya pradesh,tikamgarh,0,.82926828,0,.26804122,0,.56122708
madhya pradesh,chhatarpur,0,.86335403,0,.33742332,0,.5259307
