district,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,n_obs_men,women_mobile_own,n_obs_women,digital_gap_ownership
lower dibang valley,0.92574722,0.43026447,0.92574722,0.43026447,2.883151978,0.66716295,4.603318964,0.25858426
ahmadnagar,0.95963007,0.22023188,0.95963007,0.22023188,593.1125557,0.70119822,421.8341334,0.25843185
lower subansiri,0.94822663,0.28232753,0.94822663,0.28232753,2.250191994,0.69210726,5.792106027,0.25611937
hailakandi,0.87273645,0.22050728,0.87273645,0.22050728,94.65800148,0.61667484,64.15506297,0.25606161
amravati,0.93994296,0.18388192,0.93994296,0.18388192,432.3103777,0.68497014,217.455166,0.25497282
barnala,0.93238574,0.30126241,0.93238574,0.30126241,30.58706684,0.67832392,46.39909336,0.25406182
koppal,0.91241413,0.53406996,0.91241413,0.53406996,205.3451802,0.65960526,117.8927378,0.25280887
sitapur,0.90892959,0.20561449,0.90892959,0.20561449,175.8770797,0.65642303,331.5664258,0.25250655
hingoli,0.91163898,0.11318465,0.91163898,0.11318465,151.9856383,0.65918022,91.18126547,0.25245875
pashchim champaran,0.86608011,0.13087586,0.86608011,0.13087586,396.1271498,0.61378717,356.8587549,0.25229293
kinnaur,0.98337281,0.21170232,0.98337281,0.21170232,12.06390698,0.73157007,10.49886004,0.25180274
udhampur,0.98322713,0.41077989,0.98322713,0.41077989,69.36402023,0.73220056,102.0402117,0.25102657
kottayam,0.97313231,0.3753731,0.97313231,0.3753731,227.2090235,0.72260761,245.1483085,0.2505247
darbhanga,0.91553712,0.19168626,0.91553712,0.19168626,420.8864117,0.66581225,419.5524065,0.24972486
bathinda,0.92777932,0.18614826,0.92777932,0.18614826,76.98986837,0.67964685,109.2891575,0.24813247
theni,0.93118286,0.34691498,0.93118286,0.34691498,56.61282489,0.68390834,206.9948536,0.24727452
krishnagiri,0.95757979,0.49063784,0.95757979,0.49063784,68.86876693,0.711689,334.3509943,0.2458908
jaipur,0.93184829,0.41027677,0.93184829,0.41027677,248.0016258,0.68625468,492.4200681,0.24559361
lakshadweep,0.95812875,0.34191874,0.95812875,0.34191874,6.735046964,0.71279824,8.448357958,0.24533051
supaul,0.91350007,0.034414038,0.91350007,0.034414038,223.3452128,0.66981411,202.4018264,0.24368596
kullu,0.97211903,0.18294667,0.97211903,0.18294667,55.40509668,0.73103279,72.10796043,0.24108624
dadra & nagar haveli,0.9524616,0.35619137,0.9524616,0.35619137,52.4331836,0.71184963,38.29840187,0.24061197
garhwal,0.88417733,0.20732415,0.88417733,0.20732415,15.1140331,0.644086,71.1629371,0.24009132
deoghar,0.88018829,0.17100914,0.88018829,0.17100914,45.55291626,0.64027715,136.4571438,0.23991114
the nilgiris,0.97487622,0.50714159,0.97487622,0.50714159,32.42650321,0.73511165,120.0790815,0.23976457
dhemaji,0.90402263,0.18165025,0.90402263,0.18165025,85.28971136,0.66576892,57.79828772,0.23825371
kannauj,0.92976683,0.19911011,0.92976683,0.19911011,63.80833653,0.69178575,124.6201657,0.23798108
valsad,0.93403691,0.22358845,0.93403691,0.22358845,252.8801314,0.69642925,249.0449513,0.23760766
reasi,0.97454309,0.36575824,0.97454309,0.36575824,36.49651022,0.7369591,61.02382196,0.23758399
shrawasti,0.89284217,0.099864155,0.89284217,0.099864155,37.40222579,0.65561128,85.27352756,0.2372309
mewat,0.92403513,0.32575989,0.92403513,0.32575989,35.58348808,0.68710542,111.2891197,0.23692971
mansa,0.90193164,0.09554287,0.90193164,0.09554287,30.60158996,0.66500992,58.53923568,0.23692173
buldana,0.99569756,0.16817844,0.99569756,0.16817844,391.480139,0.75944018,207.4768192,0.23625737
kishanganj,0.90906471,0.037726793,0.90906471,0.037726793,172.8396318,0.67505985,168.9151866,0.23400486
kolkata,0.93314338,0.35758093,0.93314338,0.35758093,574.7632916,0.69917864,393.3475219,0.23396474
erode,0.97539812,0.42472559,0.97539812,0.42472559,139.5180266,0.74224937,346.7478416,0.23314875
mayurbhanj,0.8391667,0.12525196,0.8391667,0.12525196,87.8584435,0.60635477,212.442054,0.23281193
east godavari,0.96719098,0.12931137,0.96719098,0.12931137,687.2673142,0.73526335,575.0498354,0.23192763
kathua,0.9874472,0.20385206,0.9874472,0.20385206,75.40679973,0.75609297,105.2862731,0.23135424
kodagu,0.95962608,0.53706932,0.95962608,0.53706932,64.94044019,0.73043072,60.0238907,0.22919536
aizawl,0.93490541,0.40321398,0.93490541,0.40321398,45.0957548,0.70613068,42.48908478,0.22877473
tawang,0.93565768,0.46236762,0.93565768,0.46236762,1.351862988,0.70688915,2.671802027,0.22876853
vizianagaram,0.91095823,0.29357424,0.91095823,0.29357424,288.0923553,0.68235058,229.8621939,0.22860765
uttara kannada,0.96975726,0.35462719,0.96975726,0.35462719,267.6195095,0.74237859,162.2108679,0.22737867
hamirpur,0.98678327,0.24370539,0.98678327,0.24370539,41.52864268,0.76008499,76.70590621,0.22669828
damoh,0.86063403,0.13960467,0.86063403,0.13960467,65.49740949,0.63439727,134.5792996,0.22623676
badgam,0.95564014,0.43352404,0.95564014,0.43352404,72.58085811,0.72951823,99.44181637,0.2261219
daman,0.93323469,0.30518129,0.93323469,0.30518129,17.41526791,0.70780993,17.94075586,0.22542477
giridih,0.9474889,0.20955943,0.9474889,0.20955943,56.49892643,0.72270238,213.2685354,0.22478652
faridkot,0.89683789,0.27784148,0.89683789,0.27784148,23.9685597,0.67289031,104.756671,0.22394758
kulgam,1,0.44347492,1,0.44347492,52.5192664,0.77655494,86.92321359,0.22344506
jhajjar,0.87755871,0.50760031,0.87755871,0.50760031,37.68986396,0.65418541,91.21384615,0.22337329
jalandhar,0.91964501,0.31880352,0.91964501,0.31880352,95.82691193,0.69798452,225.9915372,0.22166049
kancheepuram,0.93791372,0.44275346,0.93791372,0.44275346,187.7373499,0.71785325,627.7016803,0.22006047
vidisha,0.86083144,0.25546944,0.86083144,0.25546944,64.10929286,0.6419158,135.0736123,0.21891564
north twenty four parganas,0.95073014,0.16470142,0.95073014,0.16470142,1452.050222,0.73184085,836.786695,0.2188893
sundargarh,0.89505488,0.21569759,0.89505488,0.21569759,77.14171648,0.67668998,207.4257756,0.21836489
madhepura,0.92786074,0.077560693,0.92786074,0.077560693,193.6300023,0.70966345,176.6599265,0.21819729
pudukkottai,0.94326156,0.16810288,0.94326156,0.16810288,52.39803047,0.72546345,221.9756666,0.21779811
ramanagara,0.90650982,0.56785333,0.90650982,0.56785333,125.7075241,0.68905747,97.12400514,0.21745235
sawai madhopur,0.89432746,0.11802958,0.89432746,0.11802958,56.93947208,0.67742717,120.5068853,0.21690029
washim,0.95975524,0.19464073,0.95975524,0.19464073,185.4966877,0.74345857,116.1194565,0.21629667
bangalore,0.97440022,0.60467619,0.97440022,0.60467619,1420.583193,0.75899208,1142.870684,0.21540815
amreli,0.95291072,0.007878168,0.95291072,0.007878168,188.1992559,0.73778021,191.9199696,0.21513051
sikar,0.91074347,0.39986038,0.91074347,0.39986038,111.3737204,0.6962592,298.5306236,0.21448427
chittoor,0.95761991,0.34928176,0.95761991,0.34928176,483.5669627,0.7434299,417.6150351,0.21419001
changlang,0.91453511,0.38218653,0.91453511,0.38218653,4.478904042,0.70116347,13.62320385,0.21337163
